ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
AFATINIB DIMALEATE,G74,List of FDA Approved Drugs,AFATINIB DIMALEATE,AFATINIB DIMALEATE - NDA,2013-07-12,2013-07-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AFLIBERCEPT,G74,List of FDA Approved Drugs,AFLIBERCEPT,AFLIBERCEPT - BLA,2011-11-18,2011-11-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AGALSIDASE BETA,G74,List of FDA Approved Drugs,AGALSIDASE BETA,AGALSIDASE BETA - BLA,2003-04-24,2003-04-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AIR POLYMER-TYPE A,G74,List of FDA Approved Drugs,AIR POLYMER-TYPE A,AIR POLYMER-TYPE A - NDA,2019-11-07,2019-11-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALBIGLUTIDE,G74,List of FDA Approved Drugs,ALBIGLUTIDE,ALBIGLUTIDE - BLA,2014-04-15,2014-04-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALCAFTADINE,G74,List of FDA Approved Drugs,ALCAFTADINE,ALCAFTADINE - NDA,2010-07-28,2010-07-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALECTINIB,G74,List of FDA Approved Drugs,ALECTINIB,ALECTINIB - NDA,2015-12-11,2015-12-11,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALEMTUZUMAB,G74,List of FDA Approved Drugs,ALEMTUZUMAB,ALEMTUZUMAB - BLA,2001-05-07,2001-05-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALFUZOSIN,G74,List of FDA Approved Drugs,ALFUZOSIN,ALFUZOSIN - NDA,2003-06-12,2003-06-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALGLUCOSIDASE ALFA,G74,List of FDA Approved Drugs,ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA - BLA,2006-04-28,2006-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALIROCUMAB,G74,List of FDA Approved Drugs,ALIROCUMAB,ALIROCUMAB - BLA,2015-07-24,2015-07-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALISKIREN HEMIFUMARATE,G74,List of FDA Approved Drugs,ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE - NDA,2007-03-05,2007-03-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALITRETINOIN,G74,List of FDA Approved Drugs,ALITRETINOIN,ALITRETINOIN - NDA,1999-02-02,1999-02-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALMOTRIPTAN MALATE,G74,List of FDA Approved Drugs,ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE - NDA,2001-05-07,2001-05-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALOGLIPTIN BENZOATE,G74,List of FDA Approved Drugs,ALOGLIPTIN BENZOATE,ALOGLIPTIN BENZOATE - NDA,2013-01-25,2013-01-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALOSETRON,G74,List of FDA Approved Drugs,ALOSETRON,ALOSETRON - NDA,2000-02-09,2000-02-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALPELISIB,G74,List of FDA Approved Drugs,ALPELISIB,ALPELISIB - NDA,2019-05-24,2019-05-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ALVIMOPAN,G74,List of FDA Approved Drugs,ALVIMOPAN,ALVIMOPAN - NDA,2008-05-20,2008-05-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMBRISENTAN,G74,List of FDA Approved Drugs,AMBRISENTAN,AMBRISENTAN - NDA,2007-06-15,2007-06-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMIFAMPRIDINE,G74,List of FDA Approved Drugs,AMIFAMPRIDINE,AMIFAMPRIDINE - NDA,2018-11-28,2018-11-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMINOLEVULINIC ACID,G74,List of FDA Approved Drugs,AMINOLEVULINIC ACID,AMINOLEVULINIC ACID - NDA,1999-12-03,1999-12-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMISULPRIDE,G74,List of FDA Approved Drugs,AMISULPRIDE,AMISULPRIDE - NDA,2020-02-26,2020-02-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMIVANTAMAB-VMJW,G74,List of FDA Approved Drugs,AMIVANTAMAB-VMJW,AMIVANTAMAB-VMJW - BLA,2021-05-21,2021-05-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMMONIA N-13,G74,List of FDA Approved Drugs,AMMONIA N-13,AMMONIA N-13 - NDA,2007-08-23,2007-08-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN,G74,List of FDA Approved Drugs,AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN,AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN - NDA,2022-05-03,2022-05-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AMPRENAVIR,G74,List of FDA Approved Drugs,AMPRENAVIR,AMPRENAVIR - NDA,1999-04-15,1999-04-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ANACAULASE-BCDB,G74,List of FDA Approved Drugs,ANACAULASE-BCDB,ANACAULASE-BCDB - BLA,2022-12-28,2022-12-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ANAKINRA,G74,List of FDA Approved Drugs,ANAKINRA,ANAKINRA - BLA,2001-11-14,2001-11-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ANGIOTENSIN II,G74,List of FDA Approved Drugs,ANGIOTENSIN II,ANGIOTENSIN II - NDA,2017-12-21,2017-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ANIDULAFUNGIN,G74,List of FDA Approved Drugs,ANIDULAFUNGIN,ANIDULAFUNGIN - NDA,2006-02-17,2006-02-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ANIFROLUMAB-FNIA,G74,List of FDA Approved Drugs,ANIFROLUMAB-FNIA,ANIFROLUMAB-FNIA - BLA,2021-07-30,2021-07-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ANSUVIMAB-ZYKL,G74,List of FDA Approved Drugs,ANSUVIMAB-ZYKL,ANSUVIMAB-ZYKL - BLA,2020-12-21,2020-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
APALUTAMIDE,G74,List of FDA Approved Drugs,APALUTAMIDE,APALUTAMIDE - NDA,2018-02-14,2018-02-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
APIXABAN,G74,List of FDA Approved Drugs,APIXABAN,APIXABAN - NDA,2012-12-28,2012-12-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
APOMORPHINE,G74,List of FDA Approved Drugs,APOMORPHINE,APOMORPHINE - NDA,2004-04-20,2004-04-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
APREMILAST,G74,List of FDA Approved Drugs,APREMILAST,APREMILAST - NDA,2014-03-21,2014-03-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
APREPITANT,G74,List of FDA Approved Drugs,APREPITANT,APREPITANT - NDA,2003-03-26,2003-03-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARGATROBAN,G74,List of FDA Approved Drugs,ARGATROBAN,ARGATROBAN - NDA,2000-06-30,2000-06-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARIPIPRAZOLE,G74,List of FDA Approved Drugs,ARIPIPRAZOLE,ARIPIPRAZOLE - NDA,2002-11-15,2002-11-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARIPIPRAZOLE LAUROXIL,G74,List of FDA Approved Drugs,ARIPIPRAZOLE LAUROXIL,ARIPIPRAZOLE LAUROXIL - NDA,2015-10-05,2015-10-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARSENIC TRIOXIDE,G74,List of FDA Approved Drugs,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE - NDA,2000-09-25,2000-09-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARTEMETHER; LUMEFANTRINE,G74,List of FDA Approved Drugs,ARTEMETHER; LUMEFANTRINE,ARTEMETHER; LUMEFANTRINE - NDA,2009-04-07,2009-04-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARTESUNATE,G74,List of FDA Approved Drugs,ARTESUNATE,ARTESUNATE - NDA,2020-05-26,2020-05-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ARTICAINE; EPINEPHRINE,G74,List of FDA Approved Drugs,ARTICAINE; EPINEPHRINE,ARTICAINE; EPINEPHRINE - NDA,2000-04-03,2000-04-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ASCIMINIB,G74,List of FDA Approved Drugs,ASCIMINIB,ASCIMINIB - NDA,2021-10-29,2021-10-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ASENAPINE,G74,List of FDA Approved Drugs,ASENAPINE,ASENAPINE - NDA,2009-08-13,2009-08-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ASFOTASE ALFA,G74,List of FDA Approved Drugs,ASFOTASE ALFA,ASFOTASE ALFA - BLA,2015-10-23,2015-10-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ASPARAGINASE ERWINIA CHRYSANTHEMI (RECOMBINANT)-RYWN,G74,List of FDA Approved Drugs,ASPARAGINASE ERWINIA CHRYSANTHEMI (RECOMBINANT)-RYWN,ASPARAGINASE ERWINIA CHRYSANTHEMI (RECOMBINANT)-RYWN - BLA,2021-06-30,2021-06-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ATAZANAVIR,G74,List of FDA Approved Drugs,ATAZANAVIR,ATAZANAVIR - NDA,2003-06-20,2003-06-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ATEZOLIZUMAB,G74,List of FDA Approved Drugs,ATEZOLIZUMAB,ATEZOLIZUMAB - BLA,2016-05-18,2016-05-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ATOGEPANT,G74,List of FDA Approved Drugs,ATOGEPANT,ATOGEPANT - NDA,2021-09-28,2021-09-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ATOLTIVIMAB; ODESIVIMAB; MAFTIVIMAB,G74,List of FDA Approved Drugs,ATOLTIVIMAB; ODESIVIMAB; MAFTIVIMAB,ATOLTIVIMAB; ODESIVIMAB; MAFTIVIMAB - BLA,2020-10-14,2020-10-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ATOMOXETINE,G74,List of FDA Approved Drugs,ATOMOXETINE,ATOMOXETINE - NDA,2002-11-26,2002-11-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVACOPAN,G74,List of FDA Approved Drugs,AVACOPAN,AVACOPAN - NDA,2021-10-07,2021-10-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVALGLUCOSIDASE ALFA-NGPT,G74,List of FDA Approved Drugs,AVALGLUCOSIDASE ALFA-NGPT,AVALGLUCOSIDASE ALFA-NGPT - BLA,2021-08-06,2021-08-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVANAFIL,G74,List of FDA Approved Drugs,AVANAFIL,AVANAFIL - NDA,2012-04-27,2012-04-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVAPRITINIB,G74,List of FDA Approved Drugs,AVAPRITINIB,AVAPRITINIB - NDA,2020-01-09,2020-01-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVATROMBOPAG,G74,List of FDA Approved Drugs,AVATROMBOPAG,AVATROMBOPAG - NDA,2018-05-21,2018-05-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVELUMAB,G74,List of FDA Approved Drugs,AVELUMAB,AVELUMAB - BLA,2017-03-23,2017-03-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVIBACTAM; CEFTAZIDIME,G74,List of FDA Approved Drugs,AVIBACTAM; CEFTAZIDIME,AVIBACTAM; CEFTAZIDIME - NDA,2015-02-25,2015-02-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AVOBENZONE; ECAMSULE; OCTOCRYLENE,G74,List of FDA Approved Drugs,AVOBENZONE; ECAMSULE; OCTOCRYLENE,AVOBENZONE; ECAMSULE; OCTOCRYLENE - NDA,2006-07-21,2006-07-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AXITINIB,G74,List of FDA Approved Drugs,AXITINIB,AXITINIB - NDA,2012-01-27,2012-01-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AZACITIDINE,G74,List of FDA Approved Drugs,AZACITIDINE,AZACITIDINE - NDA,2004-05-19,2004-05-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AZILSARTAN KAMEDOXOMIL,G74,List of FDA Approved Drugs,AZILSARTAN KAMEDOXOMIL,AZILSARTAN KAMEDOXOMIL - NDA,2011-02-25,2011-02-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BALOXAVIR MARBOXIL,G74,List of FDA Approved Drugs,BALOXAVIR MARBOXIL,BALOXAVIR MARBOXIL - NDA,2018-10-24,2018-10-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
