Category ID,Category name,Description,Description quantity column 1,Period start,Period end,How was the period selected,Collected by,Description quantity column 2
tbd,Recessions - Early-demographic dividend,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Early-demographic dividend. Additional notes from World Bank: Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - East Asia & Pacific,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: East Asia & Pacific. Additional notes from World Bank: East Asia and Pacific regional aggregate (includes all income levels).",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Europe & Central Asia (excluding high income),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Europe & Central Asia (excluding high income). Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1989,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Europe & Central Asia,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Europe & Central Asia. Additional notes from World Bank: Europe and Central Asia regional aggregate (includes all income levels).",% Change in GDP vs. prior year (.01 = 1%),1967,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Euro area,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Euro area. Additional notes from World Bank: Euro area aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - European Union,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: European Union. Additional notes from World Bank: European Union aggregate.",% Change in GDP vs. prior year (.01 = 1%),1971,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Fragile and conflict affected situations,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Fragile and conflict affected situations. Additional notes from World Bank: Fragile and conflict-affected situations aggregate. Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories: - Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility. - Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict. For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.",% Change in GDP vs. prior year (.01 = 1%),1969,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - High income,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: High income. Additional notes from World Bank: High income group aggregate. High-income economies are those in which 2021 GNI per capita was more than $13,205.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Heavily indebted poor countries (HIPC),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Heavily indebted poor countries (HIPC). Additional notes from World Bank: The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - IBRD only,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: IBRD only. Additional notes from World Bank: IBRD only group aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - IDA & IBRD total,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: IDA & IBRD total. Additional notes from World Bank: IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - IDA total,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: IDA total. Additional notes from World Bank: IDA total group aggregate (includes IDA only and IDA blend).",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - IDA blend,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: IDA blend. Additional notes from World Bank: IDA blend group aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - IDA only,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: IDA only. Additional notes from World Bank: IDA only group aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Latin America & Caribbean (excluding high income),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Latin America & Caribbean (excluding high income). Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Latin America & Caribbean,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Latin America & Caribbean. Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Least developed countries: UN classification,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Least developed countries: UN classification. Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1981,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Low income,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Low income. Additional notes from World Bank: Low income group aggregate. Low-income economies are those in which 2021 GNI per capita was $1,085 or less.",% Change in GDP vs. prior year (.01 = 1%),1968,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Lower middle income,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Lower middle income. Additional notes from World Bank: Lower middle income group aggregate. Lower-middle-income economies are those in which 2021 GNI per capita was between $1,086 and $4,255.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Low & middle income,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Low & middle income. Additional notes from World Bank: Low and middle-income group aggregate. Low and middle-income economies are those in which 2021 GNI per capita was less than $13,205.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Late-demographic dividend,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Late-demographic dividend. Additional notes from World Bank: Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Middle East & North Africa,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Middle East & North Africa. Additional notes from World Bank: Middle East and North Africa regional aggregate (includes all income levels).",% Change in GDP vs. prior year (.01 = 1%),1969,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Middle income,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Middle income. Additional notes from World Bank: Middle income group aggregate. Middle-income economies are those in which 2021 GNI per capita was between $1,086 and $13,205.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Middle East & North Africa (excluding high income),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Middle East & North Africa (excluding high income). Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1966,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - North America,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: North America. Additional notes from World Bank: North America regional aggregate. There are no economies in North America classified as low or middle income.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - OECD members,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: OECD members. Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Other small states,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Other small states. Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1971,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Pre-demographic dividend,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Pre-demographic dividend. Additional notes from World Bank: Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Pacific island small states,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Pacific island small states. Additional notes from World Bank: Pacific island small states aggregate.",% Change in GDP vs. prior year (.01 = 1%),1972,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Post-demographic dividend,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Post-demographic dividend. Additional notes from World Bank: Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - South Asia,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: South Asia. Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Sub-Saharan Africa (excluding high income),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Sub-Saharan Africa (excluding high income). Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Sub-Saharan Africa,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Sub-Saharan Africa. Additional notes from World Bank: Sub-Saharan Africa regional aggregate (includes all income levels).",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Small states,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Small states. Additional notes from World Bank: Small states (members of the Small States Forum) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1971,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - East Asia & Pacific (IDA & IBRD countries),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: East Asia & Pacific (IDA & IBRD). Additional notes from World Bank: East Asia & Pacific (IDA & IBRD countries) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Europe & Central Asia (IDA & IBRD countries),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Europe & Central Asia (IDA & IBRD). Additional notes from World Bank: Europe & Central Asia (IDA & IBRD countries) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1989,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Latin America & the Caribbean (IDA & IBRD countries),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Latin America & Caribbean (IDA & IBRD). Additional notes from World Bank: Latin America & the Caribbean (IDA & IBRD countries) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Middle East & North Africa (IDA & IBRD countries),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Middle East & North Africa (IDA & IBRD). Additional notes from World Bank: Middle East & North Africa (IDA & IBRD countries) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1966,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - South Asia (IDA & IBRD),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: South Asia (IDA & IBRD). Additional notes from World Bank: South Asia (IDA & IBRD countries) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Sub-Saharan Africa (IDA & IBRD countries),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Sub-Saharan Africa (IDA & IBRD). Additional notes from World Bank: Sub-Saharan Africa (IDA & IBRD countries) aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Upper middle income,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Upper middle income. Additional notes from World Bank: Upper middle income group aggregate. Upper-middle-income economies are those in which 2021 GNI per capita was between $4,256 and $13,205.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - World,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: World. Additional notes from World Bank: World aggregate.",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,
