Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Quantity outcome 2,Reference/link to data,Accessed on
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2008,Etiology: Salmonella enterica; Setting: NA; Source: Nuts-Seeds-peanut butter; peanut paste-NA,2008-09-01,2008-09-01,9,714,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Indeterminate/Other/Unknown - New Mexico - 2014,Etiology: Clostridium other; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2014-02-01,2014-02-01,8,15,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2002,"Etiology: Listeria monocytogenes; Setting: Restaurant - other or unknown type; Other; Source: Turkey-deli meat, sliced turkey-NA",2002-07-01,2002-07-01,8,54,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Pennsylvania - 2013,Etiology: Norovirus Genogroup I; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2013-12-01,2013-12-01,7,103,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2014,Etiology: Listeria monocytogenes; Setting: Other; Source: Fruits-caramel apple-apple,2014-10-01,2014-10-01,7,35,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2000,"Etiology: Listeria monocytogenes; Setting: Restaurant - other or unknown type; Other; Source: Turkey-deli meat, sliced turkey-turkey",2000-05-01,2000-05-01,7,29,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Florida - 2003,"Etiology: NA; Setting: Restaurant - other or unknown type; Source: Multiple-fried rice, unspecified-NA",2003-01-01,2003-01-01,7,7,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Michigan - 2014,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Community,2014-06-01,2014-06-01,7,45,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Missouri - 1993,Etiology: Salmonella enterica; Setting: Community/Municipality; Source: Drinking water-Community,1993-11-01,1993-11-01,7,650,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Tennessee - 1978,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Other/Environmental water-Unknown,1978-08-01,1978-08-01,7,39,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Wisconsin - 2010,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2010-03-01,2010-03-01,6,224,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Wisconsin - 2010,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2010-03-01,2010-03-01,6,225,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Wisconsin - 2010,Etiology: Norovirus unknown; Setting: NA; Source: NA,2010-12-01,2010-12-01,6,218,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Ohio - 2013,Etiology: Legionella pneumophila; Legionella pneumophila; Setting: Hospital/Health Care; Source: Other/Environmental water-Cooling Tower,2013-06-01,2013-06-01,6,39,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2015,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2015-02-01,2015-02-01,6,108,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Pennsylvania - 2004,Etiology: Rotavirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA-NA-NA,2004-02-01,2004-02-01,6,22,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2015,Etiology: Salmonella enterica; Setting: NA; Source: Seeded Vegetables-cucumber-NA,2015-07-01,2015-07-01,6,907,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Pennsylvania - 2016,Etiology: Norovirus unknown; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2016-12-01,2016-12-01,6,89,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Texas - 1989,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1989-04-01,1989-04-01,6,14,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Republic of the Marshall Islands - 2000,Etiology: Vibrio cholerae; Setting: Community/Municipality; Source: Drinking water-Bulk Water Purchase,2000-12-01,2000-12-01,6,103,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Texas - 2010,"Etiology: Listeria monocytogenes; Setting: NA; Source: Vegetable Row Crops-celery, unspecified-NA",2010-01-01,2010-01-01,5,10,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - New Hampshire - 2010,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2010-12-01,2010-12-01,5,109,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Wisconsin - 2011,Etiology: Norovirus unknown; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2011-11-01,2011-11-01,5,197,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Pennsylvania - 2011,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Community,2011-02-01,2011-02-01,5,21,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2012,Etiology: Listeria monocytogenes; Setting: Grocery store; Other; Source: Dairy-ricotta salata cheese-NA,2012-03-01,2012-03-01,5,23,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Arizona - 2014,Etiology: NA; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2014-03-01,2014-03-01,5,27,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Alabama - 2013,Etiology: Legionella pneumophila; Setting: Long term care facility; Source: Undetermined water-Unknown,2013-09-01,2013-09-01,5,19,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2006,"Etiology: Escherichia coli, Shiga toxin-producing; Setting: Private home/residence; Other; Source: Vegetable Row Crops-spinach-NA",2006-08-01,2006-08-01,5,238,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Michigan - 2015,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Community,2015-05-01,2015-05-01,5,43,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2018,"Etiology: Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing; Setting: Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Restaurant - other or unknown type; Private home/residence; Prison/jail; Source: Vegetable Row Crops-romaine lettuce, unspecified-romaine lettuce",2018-03-01,2018-03-01,5,239,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - California - 1986,Etiology: Legionella pneumophila; Legionella pneumophila; Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1986-03-01,1986-03-01,5,7,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Connecticut - 1980,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Undetermined water-Unknown,1980-12-01,1980-12-01,5,36,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Washington - 1987,Etiology: Legionella pneumophila; Legionella micdadei; Legionella feeleii; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1987-05-01,1987-05-01,5,7,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2009,Etiology: Norovirus unknown; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2009-02-01,2009-02-01,4,52,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Wisconsin - 2011,Etiology: Norovirus Genogroup II; Setting: Hospital; Source: NA,2011-01-01,2011-01-01,4,77,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Oregon - 2011,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2011-09-01,2011-09-01,4,41,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Maine - 2012,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2012-02-01,2012-02-01,4,88,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - California - 2012,"Etiology: Mycotoxins; Setting: Long-term care/nursing home/assisted living facility; Source: Multiple-soup, mushroom-NA",2012-11-01,2012-11-01,4,6,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Utah - 2013,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2013-03-01,2013-03-01,4,25,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Texas - 2001,Etiology: Salmonella enterica; Setting: Prison/jail; Source: NA-NA-NA,2001-11-01,2001-11-01,4,404,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2015,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2015-12-01,2015-12-01,4,115,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Florida - 2013,Etiology: Listeria monocytogenes; Setting: Grocery store; Source: NA-NA-NA,2013-09-01,2013-09-01,4,9,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - New Hampshire - 2017,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2017-01-01,2017-01-01,4,44,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2016,Etiology: Listeria monocytogenes; Setting: Unknown; Source: Fungi-enoki mushroom-NA,2016-11-01,2016-11-01,4,36,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2019,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2019-02-01,2019-02-01,4,95,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2011,Etiology: Listeria monocytogenes; Setting: Unknown; Source: NA-NA-NA,2011-09-01,2011-09-01,4,41,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Oregon - 2019,Etiology: NA; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2019-12-01,2019-12-01,4,85,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Indiana - 1977,Etiology: Legionella unknown; Setting: Hotel/Motel/Lodge/Inn; Source: Undetermined water-Unknown,1977-05-01,1977-05-01,4,39,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Missouri - 1989,"Etiology: Escherichia coli, Shiga toxin-producing; Setting: Community/Municipality; Source: Drinking water-Community",1989-12-01,1989-12-01,4,243,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - New York - 1995,Etiology: Legionella micdadei; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1995-01-01,1995-01-01,4,19,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Washington - 1980,Etiology: Legionella dumoffii; Setting: Hospital/Health Care; Source: Undetermined water-Unknown,1980-11-01,1980-11-01,4,9,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Wisconsin - 1979,Etiology: Legionella pneumophila; Setting: Hotel/Motel/Lodge/Inn; Source: Other/Environmental water-Unknown,1979-06-01,1979-06-01,4,13,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Massachusetts - 2009,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2009-03-01,2009-03-01,3,135,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Louisiana - 2010,Etiology: Clostridium perfringens; Setting: NA; Source: NA-NA-NA,2010-05-01,2010-05-01,3,54,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2010,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2010-12-01,2010-12-01,3,188,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Ohio - 2011,Etiology: Norovirus Genogroup II; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2011-01-01,2011-01-01,3,94,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2011,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2011-02-01,2011-02-01,3,43,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Texas - 2010,Etiology: Legionella pneumophila; Setting: Long term care facility; Source: Undetermined water-Unknown,2010-05-01,2010-05-01,3,4,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Louisiana - 2011,Etiology: Norovirus Genogroup II; Setting: NA; Source: NA,2011-12-01,2011-12-01,3,78,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - North Carolina - 2011,Etiology: Norovirus unknown; Setting: NA; Source: NA,2011-02-01,2011-02-01,3,82,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Arizona - 2012,Etiology: Norovirus Genogroup II; Setting: NA; Source: NA,2012-03-01,2012-03-01,3,61,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Illinois - 2012,Etiology: Legionella pneumophila; Legionella pneumophila; Setting: Hotel/Motel/Lodge/Inn; Source: Other/Environmental water-Fountain - Ornamental,2012-07-01,2012-07-01,3,114,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - Minnesota - 2012,Etiology: Norovirus; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2012-11-01,2012-11-01,3,78,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Person-to-person - North Dakota - 2012,Etiology: NA; Setting: Long-term care/nursing home/assisted living facility; Source: NA,2012-11-01,2012-11-01,3,73,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2012,Etiology: Salmonella enterica; Salmonella enterica; Setting: Private home/residence; Source: Fruits-cantaloupe-NA,2012-07-01,2012-07-01,3,261,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
