Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Category ID
Recessions - Africa Eastern and Southern,1980,"Year over year change in GDP, 1980",1980-01-01,1980-12-31,0.267190583226683,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1981,"Year over year change in GDP, 1981",1981-01-01,1981-12-31,0.02187270573252,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1982,"Year over year change in GDP, 1982",1982-01-01,1982-12-31,-0.040832714490316,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1983,"Year over year change in GDP, 1983",1983-01-01,1983-12-31,0.0457458079012905,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1984,"Year over year change in GDP, 1984",1984-01-01,1984-12-31,-0.0845200355097917,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1985,"Year over year change in GDP, 1985",1985-01-01,1985-12-31,-0.148854292325219,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1986,"Year over year change in GDP, 1986",1986-01-01,1986-12-31,0.119011544088713,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1987,"Year over year change in GDP, 1987",1987-01-01,1987-12-31,0.220474238897513,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1988,"Year over year change in GDP, 1988",1988-01-01,1988-12-31,0.0966731784704595,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1989,"Year over year change in GDP, 1989",1989-01-01,1989-12-31,0.0656351416421437,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1990,"Year over year change in GDP, 1990",1990-01-01,1990-12-31,0.164041922724218,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1991,"Year over year change in GDP, 1991",1991-01-01,1991-12-31,0.0796873955028555,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1992,"Year over year change in GDP, 1992",1992-01-01,1992-12-31,-0.128555243127527,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1993,"Year over year change in GDP, 1993",1993-01-01,1993-12-31,-0.00725491169987427,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1994,"Year over year change in GDP, 1994",1994-01-01,1994-12-31,0.0151913969846265,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1995,"Year over year change in GDP, 1995",1995-01-01,1995-12-31,0.122924993658038,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1996,"Year over year change in GDP, 1996",1996-01-01,1996-12-31,-0.00453634014675157,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1997,"Year over year change in GDP, 1997",1997-01-01,1997-12-31,0.0513062391751777,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1998,"Year over year change in GDP, 1998",1998-01-01,1998-12-31,-0.0580147580205044,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1999,"Year over year change in GDP, 1999",1999-01-01,1999-12-31,-0.0137009070491343,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2000,"Year over year change in GDP, 2000",2000-01-01,2000-12-31,0.0829730446401533,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2001,"Year over year change in GDP, 2001",2001-01-01,2001-12-31,-0.0884276258259422,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2002,"Year over year change in GDP, 2002",2002-01-01,2002-12-31,0.023380237202532,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2003,"Year over year change in GDP, 2003",2003-01-01,2003-12-31,0.33144090672603,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2004,"Year over year change in GDP, 2004",2004-01-01,2004-12-31,0.244359029947796,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2005,"Year over year change in GDP, 2005",2005-01-01,2005-12-31,0.167209859050066,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2006,"Year over year change in GDP, 2006",2006-01-01,2006-12-31,0.12394478172796,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2007,"Year over year change in GDP, 2007",2007-01-01,2007-12-31,0.147822290331433,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2008,"Year over year change in GDP, 2008",2008-01-01,2008-12-31,0.0715651028199867,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2009,"Year over year change in GDP, 2009",2009-01-01,2009-12-31,0.0155003634993569,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2010,"Year over year change in GDP, 2010",2010-01-01,2010-12-31,0.196449542276808,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2011,"Year over year change in GDP, 2011",2011-01-01,2011-12-31,0.120707219421991,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2012,"Year over year change in GDP, 2012",2012-01-01,2012-12-31,0.00870450631577282,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2013,"Year over year change in GDP, 2013",2013-01-01,2013-12-31,0.0112068036851938,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2014,"Year over year change in GDP, 2014",2014-01-01,2014-12-31,0.0206362505033121,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2015,"Year over year change in GDP, 2015",2015-01-01,2015-12-31,-0.0789478060663773,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2016,"Year over year change in GDP, 2016",2016-01-01,2016-12-31,-0.0452141431330664,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2017,"Year over year change in GDP, 2017",2017-01-01,2017-12-31,0.156785013369688,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2018,"Year over year change in GDP, 2018",2018-01-01,2018-12-31,-0.0135912220069644,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2019,"Year over year change in GDP, 2019",2019-01-01,2019-12-31,-0.00617869321094596,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2020,"Year over year change in GDP, 2020",2020-01-01,2020-12-31,-0.0734578883727254,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,2021,"Year over year change in GDP, 2021",2021-01-01,2021-12-31,0.165207249116162,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Western and Central,1961,"Year over year change in GDP, 1961",1961-01-01,1961-12-31,0.0695646074429742,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1962,"Year over year change in GDP, 1962",1962-01-01,1962-12-31,0.0732657194901816,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1963,"Year over year change in GDP, 1963",1963-01-01,1963-12-31,0.0613858649549326,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1964,"Year over year change in GDP, 1964",1964-01-01,1964-12-31,0.0916699439380606,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1965,"Year over year change in GDP, 1965",1965-01-01,1965-12-31,0.0739867857866042,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1966,"Year over year change in GDP, 1966",1966-01-01,1966-12-31,0.0652907215798644,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1967,"Year over year change in GDP, 1967",1967-01-01,1967-12-31,-0.0888390886973395,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1968,"Year over year change in GDP, 1968",1968-01-01,1968-12-31,0.0314924335641521,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1969,"Year over year change in GDP, 1969",1969-01-01,1969-12-31,0.1345225996679,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1970,"Year over year change in GDP, 1970",1970-01-01,1970-12-31,0.392280335317489,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1971,"Year over year change in GDP, 1971",1971-01-01,1971-12-31,-0.113670840381409,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1972,"Year over year change in GDP, 1972",1972-01-01,1972-12-31,0.212747824785543,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1973,"Year over year change in GDP, 1973",1973-01-01,1973-12-31,0.237834009747853,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1974,"Year over year change in GDP, 1974",1974-01-01,1974-12-31,0.413785919786809,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1975,"Year over year change in GDP, 1975",1975-01-01,1975-12-31,0.163526653938696,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1976,"Year over year change in GDP, 1976",1976-01-01,1976-12-31,0.20769198750462,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1977,"Year over year change in GDP, 1977",1977-01-01,1977-12-31,0.0512739248522406,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1978,"Year over year change in GDP, 1978",1978-01-01,1978-12-31,0.0900972119265032,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1979,"Year over year change in GDP, 1979",1979-01-01,1979-12-31,0.244786018359672,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1980,"Year over year change in GDP, 1980",1980-01-01,1980-12-31,0.26405652195199,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1981,"Year over year change in GDP, 1981",1981-01-01,1981-12-31,0.88343325214673,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1982,"Year over year change in GDP, 1982",1982-01-01,1982-12-31,-0.112982802139425,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1983,"Year over year change in GDP, 1983",1983-01-01,1983-12-31,-0.262062111382012,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1984,"Year over year change in GDP, 1984",1984-01-01,1984-12-31,-0.172700280558093,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1985,"Year over year change in GDP, 1985",1985-01-01,1985-12-31,0.0196443188105608,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1986,"Year over year change in GDP, 1986",1986-01-01,1986-12-31,-0.0773319923236624,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1987,"Year over year change in GDP, 1987",1987-01-01,1987-12-31,0.0262724869864382,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1988,"Year over year change in GDP, 1988",1988-01-01,1988-12-31,-0.0124935048953628,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1989,"Year over year change in GDP, 1989",1989-01-01,1989-12-31,-0.0658569240760149,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1990,"Year over year change in GDP, 1990",1990-01-01,1990-12-31,0.196851546627238,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1991,"Year over year change in GDP, 1991",1991-01-01,1991-12-31,-0.0356731435606284,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1992,"Year over year change in GDP, 1992",1992-01-01,1992-12-31,0.00702548174941932,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1993,"Year over year change in GDP, 1993",1993-01-01,1993-12-31,-0.164486918346951,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1994,"Year over year change in GDP, 1994",1994-01-01,1994-12-31,-0.126936020256398,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1995,"Year over year change in GDP, 1995",1995-01-01,1995-12-31,0.254278312648389,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1996,"Year over year change in GDP, 1996",1996-01-01,1996-12-31,0.162091008930994,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1997,"Year over year change in GDP, 1997",1997-01-01,1997-12-31,0.0103440528788366,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1998,"Year over year change in GDP, 1998",1998-01-01,1998-12-31,0.0239477915168688,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,1999,"Year over year change in GDP, 1999",1999-01-01,1999-12-31,0.0569853114397301,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2000,"Year over year change in GDP, 2000",2000-01-01,2000-12-31,0.0210095832791741,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2001,"Year over year change in GDP, 2001",2001-01-01,2001-12-31,0.0453638770849431,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2002,"Year over year change in GDP, 2002",2002-01-01,2002-12-31,0.203202485708197,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2003,"Year over year change in GDP, 2003",2003-01-01,2003-12-31,0.157780883332085,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2004,"Year over year change in GDP, 2004",2004-01-01,2004-12-31,0.239648099762968,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2005,"Year over year change in GDP, 2005",2005-01-01,2005-12-31,0.223387009622126,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2006,"Year over year change in GDP, 2006",2006-01-01,2006-12-31,0.275921312383761,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2007,"Year over year change in GDP, 2007",2007-01-01,2007-12-31,0.173812048620723,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2008,"Year over year change in GDP, 2008",2008-01-01,2008-12-31,0.219742079889873,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2009,"Year over year change in GDP, 2009",2009-01-01,2009-12-31,-0.104946345052068,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2010,"Year over year change in GDP, 2010",2010-01-01,2010-12-31,0.177701241506298,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2011,"Year over year change in GDP, 2011",2011-01-01,2011-12-31,0.139545486445749,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2012,"Year over year change in GDP, 2012",2012-01-01,2012-12-31,0.0816862170006196,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2013,"Year over year change in GDP, 2013",2013-01-01,2013-12-31,0.130668240140503,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2014,"Year over year change in GDP, 2014",2014-01-01,2014-12-31,0.0724342553931863,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2015,"Year over year change in GDP, 2015",2015-01-01,2015-12-31,-0.140661339181585,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2016,"Year over year change in GDP, 2016",2016-01-01,2016-12-31,-0.0996306718458463,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2017,"Year over year change in GDP, 2017",2017-01-01,2017-12-31,-0.00984352984182227,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2018,"Year over year change in GDP, 2018",2018-01-01,2018-12-31,0.120821781991749,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2019,"Year over year change in GDP, 2019",2019-01-01,2019-12-31,0.0370053857402671,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2020,"Year over year change in GDP, 2020",2020-01-01,2020-12-31,-0.0124816473142092,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Africa Western and Central,2021,"Year over year change in GDP, 2021",2021-01-01,2021-12-31,0.0705754401821346,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G18
Recessions - Arab World,1969,"Year over year change in GDP, 1969",1969-01-01,1969-12-31,0.089756958231001,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G19
Recessions - Arab World,1970,"Year over year change in GDP, 1970",1970-01-01,1970-12-31,0.130671983257178,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G19
Recessions - Arab World,1971,"Year over year change in GDP, 1971",1971-01-01,1971-12-31,0.155079619931556,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G19
