country	ccode	year	month	day	coup
"Mozambique"	541	1975	12	17	1
"Zambia"	551	1980	10	16	1
"Zambia"	551	1990	6	30	1
"Zambia"	551	1997	10	28	1
"Lesotho"	570	1986	1	20	2
"Lesotho"	570	1991	4	30	2
"Lesotho"	570	1994	8	17	2
"Swaziland"	572	1983	8	10	2
"Madagascar"	580	1974	12	31	1
"Madagascar"	580	1992	7	29	1
"Madagascar"	580	2009	3	17	2
"Madagascar"	580	2010	11	17	1
"Comoros"	581	1975	8	3	2
"Comoros"	581	1978	5	12	2
"Comoros"	581	1985	3	8	1
"Comoros"	581	1987	11	30	1
"Comoros"	581	1989	11	26	2
"Comoros"	581	1991	8	3	1
"Comoros"	581	1992	9	26	1
"Comoros"	581	1999	4	30	2
"Comoros"	581	2000	3	21	1
"Seychelles"	591	1977	6	5	2
"Morocco"	600	1971	7	10	1
"Morocco"	600	1972	8	16	1
"Algeria"	615	1964	6	30	1
"Algeria"	615	1965	6	19	2
"Algeria"	615	1967	12	14	1
"Tunisia"	616	1987	11	7	2
"Libya"	620	1969	9	1	2
"Libya"	620	1975	8	5	1
"Libya"	620	1993	10	23	1
"Sudan"	625	1955	8	18	1
"Sudan"	625	1958	11	17	2
"Sudan"	625	1959	5	21	1
"Sudan"	625	1959	11	9	1
"Sudan"	625	1966	12	18	1
"Sudan"	625	1966	12	28	1
"Sudan"	625	1969	5	25	2
"Sudan"	625	1971	7	19	1
"Sudan"	625	1975	9	5	1
"Sudan"	625	1976	7	2	1
"Sudan"	625	1977	2	3	1
"Sudan"	625	1985	4	6	2
"Sudan"	625	1989	6	30	2
"Iran"	630	1953	8	13	2
"Turkey"	640	1960	5	27	2
"Turkey"	640	1962	2	22	1
"Turkey"	640	1963	5	20	1
"Turkey"	640	1971	3	12	2
"Turkey"	640	1980	9	10	2
"Iraq"	645	1958	7	14	2
"Iraq"	645	1959	3	7	1
"Iraq"	645	1963	2	8	2
"Iraq"	645	1963	11	18	2
"Iraq"	645	1965	9	16	1
"Iraq"	645	1966	6	30	1
"Iraq"	645	1968	7	17	2
"Iraq"	645	1970	1	20	1
"Iraq"	645	1973	6	30	1
"Iraq"	645	1991	9	23	1
"Iraq"	645	1992	6	15	1
"Iraq"	645	1995	6	15	1
"Egypt"	651	1952	7	23	2
"Egypt"	651	1954	2	27	2
"Syria"	652	1951	11	29	2
"Syria"	652	1954	2	25	2
"Syria"	652	1961	9	28	2
"Syria"	652	1962	3	28	2
"Syria"	652	1963	3	8	2
"Syria"	652	1963	7	18	1
"Syria"	652	1966	2	23	2
"Syria"	652	1966	9	8	1
"Syria"	652	1969	3	1	2
"Syria"	652	1970	11	13	2
"Syria"	652	1982	1	31	1
"Lebanon"	660	1961	12	31	1
"Lebanon"	660	1976	3	12	1
"Jordan"	663	1957	4	13	1
"Jordan"	663	1958	7	1	1
"Yemen Arab Republic; N. Yemen"	678	1955	4	2	1
"Yemen Arab Republic; N. Yemen"	678	1962	9	27	2
"Yemen Arab Republic; N. Yemen"	678	1967	11	4	2
"Yemen Arab Republic; N. Yemen"	678	1974	6	13	2
"Yemen Arab Republic; N. Yemen"	678	1978	10	15	1
"Yemen People's Republic; S. Yemen"	680	1968	3	20	1
"Yemen"	680	1968	8	31	1
"Yemen People's Republic; S. Yemen"	680	1978	6	26	2
"Yemen People's Republic; S. Yemen"	680	1986	1	13	2
"Qatar"	694	1972	2	22	2
"Qatar"	694	1995	6	27	2
"Qatar"	694	1996	2	20	1
"United Arab Emirates"	696	1972	1	25	1
"United Arab Emirates"	696	1987	6	16	1
"Oman"	698	1970	7	26	2
"Afghanistan"	700	1973	7	17	2
"Afghanistan"	700	1978	4	27	2
"Afghanistan"	700	1990	3	7	1
"Afghanistan"	700	1992	4	15	2
"South Korea"	732	1961	5	16	2
"Pakistan"	770	1958	10	27	2
"Pakistan"	770	1971	12	19	2
"Pakistan"	770	1977	7	5	2
"Pakistan"	770	1999	10	12	2
"Bangladesh"	771	1975	8	15	2
"Bangladesh"	771	1975	11	7	2
"Bangladesh"	771	1977	10	2	1
"Bangladesh"	771	1981	5	30	1
"Bangladesh"	771	1982	3	24	2
"Bangladesh"	771	1996	5	20	1
"Myanmar"	775	1958	9	26	2
"Myanmar"	775	1962	3	2	2
"Myanmar"	775	1976	7	2	1
"Myanmar"	775	1988	9	18	2
"Thailand"	800	1951	6	29	1
"Thailand"	800	1951	11	29	2
"Thailand"	800	1957	9	16	2
"Thailand"	800	1958	10	20	2
"Thailand"	800	1976	10	6	2
"Thailand"	800	1977	3	26	1
"Thailand"	800	1977	10	20	2
"Thailand"	800	1981	4	1	1
"Thailand"	800	1985	9	9	1
"Thailand"	800	1991	2	23	2
"Thailand"	800	2006	9	19	2
"Cambodia"	811	1970	3	18	2
"Cambodia"	811	1978	5	15	1
"Cambodia"	811	1997	7	5	2
"Laos"	812	1960	8	9	2
"Laos"	812	1960	12	8	2
"Laos"	812	1964	4	19	2
"Laos"	812	1965	1	31	1
"Laos"	812	1965	3	28	1
"Laos"	812	1965	4	16	1
"Laos"	812	1966	10	21	1
"Laos"	812	1973	8	20	1
"Republic of Vietnam"	817	1960	11	11	1
"Republic of Vietnam"	817	1963	11	1	2
"Republic of Vietnam"	817	1964	1	30	2
"Republic of Vietnam"	817	1964	9	13	1
"Republic of Vietnam"	817	1965	1	27	2
"Republic of Vietnam"	817	1965	2	19	1
"Republic of Vietnam"	817	1965	6	11	2
"Philippines"	840	1986	7	6	1
"Philippines"	840	1987	1	27	1
"Philippines"	840	1987	8	27	1
"Philippines"	840	1989	12	1	1
"Philippines"	840	1990	10	4	1
"Indonesia"	850	1965	10	1	1
"Indonesia"	850	1966	3	12	2
"Papua New Guinea"	910	1990	3	14	1
"Fiji"	950	1987	5	14	2
"Fiji"	950	2000	5	19	1
"Fiji"	950	2006	12	5	2
